teilweise	частично, отчасти
thematisieren	поднимать тему, затрагивать
Bundesregierung	федеральное правительство
scrollen	скроллить, прокручивать
innerlich	внутренний, душевный
ehrlicherweise	честно говоря
ausgleichen	компенсировать, выравнивать
wegräumen	убирать
reinschauen	заглянуть
Hitzewelle	волна жары
nachholen	навёрстывать, догонять
auskennen	разбираться, ориентироваться
schwanken	колебаться, шататься
loslegen	начинать, приступать
abbilden	изображать
Wendung	поворот, оборот
deutschsprachig	немецкоязычный
Blockbuster	блокбастер
Fitnessstudio	тренажёрный зал
verfilmen	экранизировать
Zusatz	добавка, дополнение
verkörpern	воплощать, олицетворять
Gemeinsamkeit	общность, общее
Umsetzung	реализация, воплощение
Kleinstadt	городок, маленький город
Schminktisch	туалетный столик
Waschbecken	раковина, умывальник
ausverkaufen	распродавать
berücksichtigen	учитывать, принимать во внимание
Tätigkeit	деятельность
stricken	вязать
Abspann	финальные титры
mythologisch	мифологический
kindlich	детский, ребяческий
Zeugnis	аттестат, свидетельство
künftig	будущий, в будущем
zaubern	колдовать, творить чудеса
faktisch	фактический
Kriterium	критерий
anprobieren	примерять
Siegel	печать, пломба
Pilz	гриб
anschreiben	написать (кому-то)
Eintritt	вход, вступление
limitieren	ограничивать
Ernährung	питание
Haarfarbe	цвет волос
Screen	экран
verblenden	ослеплять, вводить в заблуждение
Teig	тесто
Formulierung	формулировка
Pfanne	сковорода
autonom	автономный
abarbeiten	отрабатывать, разгребать
Kreuzzug	крестовый поход
Span	стружка, щепка
Begleiter	спутник, сопровождающий
Fächer	веер
Frame	кадр, фрейм
Behauptung	утверждение
Mod	мод
Ablauf	ход, протекание, сток
hinschauen	смотреть, взглянуть
Schrein	святыня, рака
aufkommen	возникать, появляться
kauen	жевать
zwischendrin	между тем, в промежутке
Loge	ложа
Weltbild	мировоззрение, картина мира
zensieren	цензурировать, оценивать
Roller	самокат, скутер
begrenzen	ограничивать
weiterlesen	читать дальше
Strick	верёвка
Rücksicht	внимание, уважение
Aufstieg	подъём, продвижение
ikonisch	культовый, знаковый
Lesung	чтение (публичное), чтение законопроекта
Most	сусло, молодое вино
ländlich	сельский, деревенский
Besonderheit	особенность
Rüssel	хобот, рыло
Kopfhörer	наушники
Deo	дезодорант
katastrophal	катастрофический
Fiebertraum	горячечный бред
rocken	зажигать, рубить (о музыке)
Raucher	курильщик
vermischen	смешивать
Glitzer	блёстки
erlangen	достигать, обретать
Rentner	пенсионер
weitgehend	значительный, в значительной степени
Gründer	основатель
Belastung	нагрузка, обременение
Gänsehaut	гусиная кожа, мурашки
Supplement	добавка, БАД
Adaption	адаптация, экранизация
buchstäblich	буквальный
Minderheit	меньшинство
Wirbelsäule	позвоночник
fragwürdig	сомнительный
Pulver	порошок, порох
Dreieck	треугольник
nahezu	почти, практически
schlussendlich	в конце концов
Schminke	косметика, макияж
Lehrkraft	преподаватель, учитель
pausieren	делать паузу, приостанавливать
hervorheben	подчёркивать, выделять
vernachlässigen	пренебрегать, запускать
werben	рекламировать, вербовать
wackeln	шататься, качаться
Spargel	спаржа
Auflösung	растворение, разрешение, роспуск
repräsentieren	представлять
Grafik	графика, график
kuscheln	прижиматься, обниматься
Gliederung	структура, план, членение
Stapel	стопка, штабель
Gymnasium	гимназия
nähen	шить
Türchen	дверца
abhaken	вычёркивать, ставить галочку
Fund	находка
Bundesland	федеральная земля
Pickel	прыщ
glitzern	блестеть, сверкать
versterben	умереть, скончаться
Bauchgefühl	интуиция, шестое чувство
Geländer	перила
einfrieren	замерзать, замораживать
Praktikum	практика, стажировка
Bestandteil	составная часть, компонент
Übersicht	обзор
Schreibstil	стиль письма
stellenweise	местами
Heizung	отопление, батарея
feministisch	феминистский
abschaffen	отменять, упразднять
Kinofilm	кинофильм
andeuten	намекать
maßgeblich	решающий, значительный
vorweg	заранее, наперёд
absprechen	отказывать, оспаривать
miterleben	быть свидетелем, переживать
Strahlung	излучение, радиация
supporten	поддерживать
Fragezeichen	вопросительный знак
zwiebeln	донимать, мучить
Eisenbahn	железная дорога
Grundgesetz	конституция, основной закон
Weihnachtszeit	рождественские дни
materiell	материальный
rankommen	добраться, дотянуться
gesetzlich	законный, установленный законом
aufzeigen	показывать, выявлять
Ladekabel	зарядный кабель
optimieren	оптимизировать
Bestätigung	подтверждение
gleichmäßig	равномерный
ineinander	друг в друга
zusammenhängen	быть связанным
schocken	шокировать
Qualle	медуза
flashen	вспыхнуть, ошарашить
Sonnenbrand	солнечный ожог
abbekommen	получить, схлопотать
einfügen	вставлять
blättern	листать
Kreislauf	кровообращение, круговорот
Lade	ящик, ларь
bange	тревожно, страшно
Knoblauch	чеснок
jumpen	прыгать
Kombi	универсал
einteilen	делить, распределять
Baumarkt	строительный магазин
Tastatur	клавиатура
vorgeben	притворяться, задавать
subtil	тонкий, изысканный
Klappentext	аннотация на обложке
abfallen	отпадать, снижаться
Tanken	заправка
Stichwort	ключевое слово, реплика
Ostern	Пасха
Umzug	переезд, шествие
Wiederholung	повторение
Verbesserung	улучшение, исправление
knüpfen	завязывать, налаживать
minderjährig	несовершеннолетний
unbewusst	неосознанный, бессознательный
umsteigen	пересаживаться, переходить
widerlegen	опровергать
Pflaster	пластырь, мостовая
reinschreiben	вписать
Perücke	парик
greifbar	осязаемый, ощутимый
vergleichsweise	сравнительно, относительно
indisch	индийский
ausnahmsweise	в виде исключения
nachweisen	доказать, подтвердить
zeitweise	временами, временно
Schultag	школьный день
vergleichbar	сопоставимый, сравнимый
dreifach	тройной
Versorgung	снабжение, обеспечение
Hülle	оболочка, чехол
hocken	сидеть на корточках, торчать
ausreichen	хватать, быть достаточным
Beamter	чиновник
Reiz	раздражитель, прелесть
Musikvideo	клип, музыкальное видео
seitlich	боковой, сбоку
Vorurteil	предрассудок
abkühlen	охлаждать, остывать
Lot	отвес, припой
Lore	вагонетка
aufrufen	вызывать, призывать
entschließen	решаться
Anführungszeichen	кавычки
Auseinandersetzung	спор, разбор, столкновение
Träger	носитель, лямка, балка
Verarbeitung	обработка, переработка
Schmerztablette	обезболивающая таблетка
altgriechisch	древнегреческий
umstritten	спорный
Impressum	выходные данные, импрессум
performen	выступать, показывать результат
verschenken	дарить, раздаривать
Oberkörper	верхняя часть тела
woke	воук, прогрессистский
Meilenstein	веха
vorbeigehen	проходить мимо
windig	ветреный
Biografie	биография
Nostalgie	ностальгия
Verteidiger	защитник
Cloud	облако, облачное хранилище
Magier	маг, волшебник
löffeln	есть ложкой
selbstbewusst	уверенный в себе
vorlegen	представить, предъявить
Eizelle	яйцеклетка
Arbeitsspeicher	оперативная память
Einwanderung	иммиграция
hierzu	для этого, к этому
glaubwürdig	достоверный, правдоподобный
hinziehen	тянуть, затягиваться
kürzen	сокращать, укорачивать
Impfung	прививка
wohlhabend	состоятельный, зажиточный
Schnitzel	шницель
Masche	петля, уловка
tracken	отслеживать, трекать
Vortag	предыдущий день
Verband	союз, повязка, объединение
Balken	балка, бревно
verschlossen	запертый, замкнутый
geplant	запланированный
Jura	юриспруденция
zwischenmenschlich	межличностный
ansteigen	возрастать, подниматься
ausleben	реализовать себя, дать волю
nachträglich	задним числом, впоследствии
Menschlichkeit	человечность, гуманность
Kanzler	канцлер
schauspielern	играть роль, притворяться
zerlegen	разбирать, расчленять
verdrängen	вытеснять
Gleis	путь, рельсы
Kulturkampf	культуркампф, борьба культур
Hack	взлом, хак
Schwung	размах, порыв
medial	медийный
Aquarell	акварель
größtenteils	по большей части
verboten	запрещённый
gottlos	безбожный
Müdigkeit	усталость
regulär	обычный, регулярный
belagern	осаждать
Atmung	дыхание
aufarbeiten	прорабатывать, разгребать
Turner	гимнаст
Waldbrand	лесной пожар
interessanterweise	что интересно
Nische	ниша
morden	убивать
dezent	сдержанный, неброский
Kleiderschrank	платяной шкаф
abgefuckt	отстойный, конченый
zugucken	смотреть, наблюдать
Powerbank	повербанк
Nagelstudio	маникюрный салон
Blase	пузырь, мозоль
allerletzte	самый последний
einheitlich	единый, единообразный
liegend	лежащий
Antagonist	антагонист
BH	бюстгальтер, лифчик
Ausmaß	масштаб, размах
zwangsläufig	неизбежный
inwiefern	насколько, в какой мере
Überlegung	размышление, соображение
denkbar	мыслимый, возможный
Bluse	блузка
auffüllen	наполнять, пополнять
Gin	джин
beschwören	заклинать, умолять
Eintrag	запись
schmieden	ковать
Bewerbung	заявка, резюме
schrauben	привинчивать, крутить
Konsens	консенсус, согласие
Macher	деятель, организатор
Förderung	содействие, добыча
Merkmal	признак, примета
einheimisch	местный
unterstreichen	подчёркивать
wöchentlich	еженедельный
höchstwahrscheinlich	вероятнее всего
Einleitung	введение, вступление
stumpf	тупой
erfrischend	освежающий
geübt	опытный, натренированный
Willensfreiheit	свобода воли
Wecker	будильник
ablösen	сменять, отделять
Hauptbahnhof	главный вокзал
anspruchsvoll	требовательный, взыскательный
Trikot	футболка, майка
verwalten	управлять, распоряжаться
Synchronsprecher	актёр озвучки
betroffen	затронутый, пострадавший
Eiweiß	белок
variieren	варьировать, изменяться
Umsatz	оборот, выручка
Isomatte	туристический коврик
Überschrift	заголовок
lustigerweise	забавно, что
Öffnung	открытие, отверстие
extern	внешний
erreichbar	достижимый, доступный
folglich	следовательно
minimalistisch	минималистичный
involvieren	вовлекать, включать
essentiell	существенный, необходимый
Wunschliste	список желаний
Masterarbeit	магистерская работа
Inhaltsstoff	ингредиент, компонент
Möwe	чайка
Feuchtigkeit	влажность, сырость
ungesund	нездоровый, вредный
umrechnen	пересчитывать, конвертировать
freischalten	разблокировать
erkennbar	различимый, узнаваемый
Wähler	избиратель
durchfallen	провалиться (на экзамене)
Einschränkung	ограничение
schonen	беречь, щадить
beliebig	любой, произвольный
unwohl	нехорошо, дурно
verstören	смущать, тревожить
knackig	хрустящий
auschecken	выписываться (из отеля)
hierfür	для этого
Erweiterung	расширение, дополнение
Händchen	ручка, ручонка
Hängematte	гамак
Bauchschmerz	боль в животе
Matsch	слякоть, грязь
Pärchen	парочка
Landtagswahl	выборы в земельный парламент
strukturell	структурный
weiterhelfen	помочь, выручить
Hürde	барьер, препятствие
Kirsche	вишня, черешня
matchen	подбирать пару, совпадать
Rückweg	обратный путь
Bananenbrot	банановый хлеб
anstrengen	напрягать, утомлять
Rohstoff	сырьё
Repräsentation	представительство, репрезентация
Prophezeiung	пророчество
schwächen	ослаблять
Selbständigkeit	самостоятельность
Schale	кожура, скорлупа
überwiegend	преимущественно, преобладающий
Steuererklärung	налоговая декларация
ärgerlich	досадный, раздражающий
Käsekuchen	чизкейк
Eingangsbereich	входная зона, прихожая
verweisen	отсылать, указывать
Komponente	компонент, составная часть
Schaufel	лопата
ungewollt	невольный, непреднамеренный
Lieblingsfilm	любимый фильм
Ablenkung	отвлечение, развлечение
muslimisch	мусульманский
postapokalyptisch	постапокалиптический
Ausbruch	вспышка, побег, извержение
unordentlich	неопрятный, беспорядочный
Ermittler	следователь, сыщик
Zivilist	гражданское лицо
hinfallen	упасть, свалиться
nachgucken	посмотреть, глянуть
vermarkten	продавать, продвигать на рынке
Betreiber	оператор, владелец
Vollzeit	полная занятость
Schuppe	чешуя, перхоть
zunehmen	увеличиваться, полнеть
ableiten	выводить, отводить
Tablet	планшет
Türkis	бирюзовый, бирюза
künstlerisch	художественный
Lesezeichen	закладка
oliv	оливковый
Lebensbereich	сфера жизни
Ananassaft	ананасовый сок
ansagen	объявлять, анонсировать
dunkelblau	тёмно-синий
Auftraggeber	заказчик, клиент
Vermieter	арендодатель, хозяин
Kirschblüte	цветение вишни
Sprit	бензин, топливо
ansatzweise	отчасти, в какой-то мере
blank	голый, начищенный
berüchtigt	пресловутый, печально известный
festmachen	закреплять, швартовать
alliiert	союзный, союзнический
Doppel	парная игра, дубль
übersichtlich	наглядный, обозримый
bemalen	раскрашивать, расписывать
Tabelle	таблица
Ausbeute	выход, добыча
Kleber	клей
Silbe	слог
Buchmesse	книжная ярмарка
Strafrecht	уголовное право
Nacho	начос
Kriegsführung	ведение войны
machbar	осуществимый, выполнимый
verfangen	действовать, подействовать
entnehmen	извлекать, заключать (из чего-л.)
Hautfarbe	цвет кожи
verbünden	объединяться, вступать в союз
byzantinisch	византийский
vorder	передний
syrisch	сирийский
umwandeln	преобразовывать, превращать
Veröffentlichung	публикация
einreden	внушать, убеждать
synchron	синхронный
Aufmerksamkeitsspanne	продолжительность концентрации внимания
Kommode	комод
Oberschenkel	бедро
parlamentarisch	парламентский
abliefern	сдавать, выдавать (результат)
Paprika	паприка, болгарский перец
Geschäftsmodell	бизнес-модель
ausräumen	опорожнять, разбирать
Staatsanwaltschaft	прокуратура
anfreunden	подружиться
zutrauen	считать способным, доверять
Zensur	оценка, цензура
Bagger	экскаватор
grinsen	ухмыляться, скалиться
Krankenkasse	больничная касса
begrenzt	ограниченный
Einzug	въезд, вступление
abstoßen	отталкивать, отпугивать
betäuben	оглушать, обезболивать
überfüllt	переполненный
Currywurst	карривурст
zeitgleich	одновременно
Soziologe	социолог
Maßstab	масштаб, мерило
zuschreiben	приписывать
bohren	сверлить, бурить
Flohmarkt	блошиный рынок
spürbar	ощутимый, заметный
generisch	обобщённый, generic
Staatsbürger	гражданин
Anliegen	просьба, дело
Nutzung	использование
aufwerten	повышать ценность, облагораживать
Ministerpräsident	премьер-министр земли
lose	свободный, незакреплённый
Ausgleich	компенсация, равновесие
engagieren	нанимать, вовлекаться
atmosphärisch	атмосферный
einarbeiten	вводить в курс дела, осваивать
Landtag	земельный парламент
Herzog	герцог
Lektüre	чтение, литература
verankern	закреплять, укоренять
resident	резидентный, постоянный
Gestaltung	оформление, дизайн
Abhängigkeit	зависимость
berechtigen	давать право, уполномочивать
befriedigen	удовлетворять
geachtet	уважаемый, почитаемый
fettig	жирный
verheerend	опустошительный, катастрофический
Beobachter	наблюдатель
massenhaft	массовый
Eiswürfel	кубик льда
Kleinkind	малыш, ребёнок
Bezeichnung	обозначение, название
Rubel	рубль
Dienstleistung	услуга
Prämisse	предпосылка, посылка
Fahrradfahrer	велосипедист
sachlich	деловой, по существу
Psychologe	психолог
zurückhaltend	сдержанный
pendeln	курсировать, ездить на работу
koptisch	коптский
Lieblingsbuch	любимая книга
traumhaft	сказочный, чудесный
Sichtweise	точка зрения, взгляд
Wegschmeißen	выбрасывать
Kratzer	царапина
kommerziell	коммерческий
Popkultur	поп-культура
Ansage	объявление, анонс
Leuchtturm	маяк
vorwegnehmen	предвосхищать, забегать вперёд
nachmittags	после обеда, днём
hergeben	отдавать, выдавать
anbauen	выращивать, пристраивать
gefüllt	наполненный, с начинкой
Kur	курс лечения, санаторий
unbequem	неудобный
Telefonat	телефонный разговор
Leichtigkeit	лёгкость
föhnen	сушить феном
Verwandlung	превращение, преображение
versteckt	спрятанный, скрытый
reinnehmen	впустить, взять внутрь
snacken	перекусывать
abdrehen	отвинчивать, сворачивать
zerschlagen	разбить, разгромить
Schätzung	оценка, прикидка
Geschlechtskrankheit	венерическая болезнь
nebenher	рядом, попутно
Ausstattung	оснащение, обстановка
Senf	горчица
konzipieren	задумывать, разрабатывать
updaten	обновлять
Gewinnspiel	конкурс, розыгрыш
demotivieren	демотивировать
abändern	изменять, переделывать
Versand	отправка, рассылка
Ambiente	обстановка, атмосфера
Vorfeld	преддверие, канун
umfassend	обширный, всеобъемлющий
Füttern	кормление, кормить
Geschmackssache	дело вкуса
Vanille	ваниль
Kippe	окурок, сигарета
Mayo	майонез
einwirken	воздействовать, влиять
Vizepräsident	вице-президент
zusagen	обещать, соглашаться, нравиться
abtrennen	отделять, отрезать
abdecken	покрывать, охватывать
Laufzeit	срок действия, продолжительность
kicken	пинать, бить по мячу
anspielen	намекать, начинать игру
Emoji	эмодзи
atemberaubend	захватывающий дух
tätowiert	татуированный
ungleich	неравный, неодинаковый
Minze	мята
unterkommen	приютиться, найти пристанище
Kritikpunkt	замечание, претензия
gewissermaßen	в некотором роде, до известной степени
Vorgabe	норматив, заданное значение, фора
Endzeit	конец света, время окончания
Umkehrschluss	обратное заключение
hervorbringen	порождать, производить
beschimpfen	ругать, обзывать
verschollen	пропавший без вести
Landwirtschaft	сельское хозяйство
abchecken	проверить, разузнать
willkürlich	произвольный, самовольный
einleiten	начинать, вводить
wiederherstellen	восстанавливать
unbeliebt	непопулярный, нелюбимый
mixen	смешивать, миксовать
Stadtteil	район города
Leserin	читательница
Elternteil	родитель
ausschlafen	выспаться
zurückgreifen	прибегать (к чему-л.)
Justiz	юстиция, правосудие
nachlassen	ослабевать, спадать
reinfallen	попасться, влипнуть
Christentum	христианство
schlüpfen	проскользнуть, вылупиться
Denker	мыслитель
Meisterschaft	чемпионат, мастерство
viermal	четырежды, четыре раза
anstoßen	толкать, чокаться
Fetzen	клочок, обрывок
anstecken	заражать, прикалывать
Unterdrückung	угнетение, подавление
verbauen	застроить, испортить постройкой
islamistisch	исламистский
fortführen	продолжать, уводить
Eingriff	вмешательство, операция
Fotoshooting	фотосессия
neuseeländisch	новозеландский
nachfragen	справляться, расспрашивать
Mieter	съёмщик, арендатор
ansiedeln	селить, поселять
Angestellter	служащий, сотрудник
Vorgeschichte	предыстория
Hüterin	хранительница
perfide	коварный, вероломный
Pleite	банкротство, провал
Belagerung	осада
Hähnchen	курица, цыплёнок
Koala	коала
Physiker	физик
Snowboard	сноуборд
verschärfen	обострять, ужесточать
mobben	травить, гнобить
Mindmap	интеллект-карта
Silvester	новогодняя ночь
aufweisen	иметь, обнаруживать
schädigen	повреждать, вредить
vorerst	пока, на первое время
farblich	цветовой
gebieten	повелевать, требовать
woraufhin	после чего
erarbeiten	разрабатывать, вырабатывать
differenzieren	различать, дифференцировать
Heft	тетрадь, выпуск
einspielen	записывать (музыку), приносить сборы
Benachrichtigung	уведомление, оповещение
kapitulieren	капитулировать, сдаваться
hochfahren	вскочить, загружаться
häkeln	вязать крючком
Verwaltung	управление, администрация
Nebensache	мелочь, второстепенное дело
Feldzug	поход, кампания
vorführen	демонстрировать, показывать
Einordnung	классификация, отнесение
bündeln	связывать в пучок, объединять
Einzel	одиночный разряд, одиночка
Akteur	действующее лицо, актёр
Besetzung	занятие, состав (актёров)
Todesfall	смертный случай
